time,free_cpu_ratio,job_queue_ratio,battery_ratio,running_job_ratio,time_norm,cpu_usage_ratio,clean_energy_ratio,solar_generation,wind_generation,clean_energy_generation,non_clean_energy_used,cluster_consumption,reward,battery_level,ram_usage_ratio,brown_energy_ratio,completed_jobs,avg_slowdown
1,0.9616009455419934,1.0,1.0,0.015625,0.0033333333333333335,0.038399054458006676,1.0,119.55851409346799,0.0,107.6026626841212,0,0,0.11519716337402003,100,0.029205343529609462,0,0,0
2,0.8768421179612816,1.0,1.0,0.03125,0.006666666666666667,0.12315788203871833,1.0,691.4815058332069,0.0,622.3333552498863,0,21.574744661744752,10.369473646116155,100,0.09552453420470908,0.0,0,0
3,0.8066054953105996,1.0,1.0,0.046875,0.01,0.19339450468940045,1.0,499.98412663371187,0.0,449.98571397034067,0,44.99522899490891,10.580183514068201,100,0.11710797358681646,0.0,0,0
4,0.8605026386103178,1.0,1.0,0.03125,0.013333333333333334,0.1394973613896822,1.0,389.81855908972807,0.0,350.83670318075525,0,71.88413320373155,11.918492084169047,100,0.058070064137658584,0.0,2,1.25
5,0.8196946488305277,1.0,0.8,0.046875,0.016666666666666666,0.18030535116947236,0.18502261937657402,0.0,0.0,20.0,88.09489168075322,108.09489168075322,-5.758631558960102,80.0,0.09158387807965074,0.814977380623426,0,0
6,0.7274032327485964,1.0,0.6,0.0625,0.02,0.27259676725140364,0.15277316947959818,0.0,0.0,20.0,110.91303969229273,130.91303969229273,-6.126746308653825,60.0,0.11522558265883909,0.8472268305204018,0,0
7,0.7178115642220013,1.0,0.4,0.0625,0.023333333333333334,0.28218843577799874,0.1510416953983625,0.0,0.0,20.0,112.41376791521915,132.41376791521915,-6.132600784698752,40.0,0.11707070948685794,0.8489583046016375,1,2.0
8,0.7790524944934982,1.0,1.0,0.046875,0.02666666666666667,0.22094750550650175,1.0,767.8885517704806,62.11657082460498,635.1947828512881,0,109.59561990367965,5.329509183186171,100,0.07206711927656184,0.0,2,4.666666666666667
9,0.9010742073211746,1.0,1.0,0.03125,0.03,0.09892579267882538,1.0,581.7780694184396,119.99999999999999,415.6002624765957,0,44.435796667377936,10.296777378036476,100,0.0830214988271617,0.0,2,2.0
10,0.8492337791328436,1.0,1.0,0.046875,0.03333333333333333,0.15076622086715644,1.0,742.4939548506004,169.70562748477138,515.5094946292461,0,92.47737468331758,10.45229866260147,100,0.14568360548491843,0.0,0,0
11,0.7774142821003669,1.0,0.8,0.0625,0.03666666666666667,0.22258571789963313,0.16018081333511433,207.84609690826525,207.84609690826525,20.0,104.85889903778921,124.85889903778921,-6.128626579598813,80.0,0.19264352282110475,0.8398191866648856,0,0
12,0.8052964827920458,1.0,1.0,0.0625,0.04,0.1947035172079542,1.0,1065.7037164227195,231.8221983093764,750.4933663020089,0,142.98763395332895,9.834110551623862,100,0.184170365975176,0.0,1,2.75
13,0.831410480931648,1.0,1.0,0.0625,0.043333333333333335,0.168589519068352,1.0,943.1449351684049,240.0,632.8304416515645,0,141.70320675754908,8.505768557205055,100,0.1661556695085512,0.0,1,4.0
14,0.7696361707918519,1.0,1.0,0.0625,0.04666666666666667,0.23036382920814816,0.8004553001073963,338.43580459835016,231.8221983093764,95.95224566007641,23.91983919863162,119.87208485870804,6.100197489772372,100,0.13532703685816627,0.1995446998926037,1,2.6
15,0.684870547729312,1.0,1.0,0.078125,0.05,0.315129452270688,0.33928531953353447,281.4913844127077,207.84609690826528,66.2807587539982,129.0732838114866,195.35404256548478,-2.2689052525172464,100,0.15848157337699065,0.6607146804664655,0,0
16,0.6814861196946111,1.0,1.0,0.078125,0.05333333333333334,0.31851388030538885,0.358469747850863,238.8126096256932,169.7056274847714,62.19628392682961,111.30868908613888,173.5049730129685,-2.875063402066574,100,0.1567386463057696,0.641530252149137,1,3.0
17,0.7030416499181233,1.0,1.0,0.0625,0.056666666666666664,0.2969583500818766,0.7005057949179168,296.78021138611535,119.99999999999999,159.10219024750384,68.02254077081267,227.1247310183165,1.7009909486039656,100,0.1336447216688127,0.2994942050820832,2,3.6
18,0.728086125083842,1.0,1.0,0.0625,0.06,0.271913874916158,1.0,440.12562619349126,62.11657082460504,340.2081498319976,0,202.8567854392752,7.1490749580818065,100,0.1564858235572264,0.0,1,5.666666666666667
19,0.7641848254145398,1.0,1.0,0.046875,0.06333333333333334,0.23581517458546017,1.0,276.49059438729404,2.939152317953648e-14,248.8415349485646,0,153.45163988794528,2.1074455237563807,100,0.12735871502985718,0.0,2,6.3
20,0.667361625459471,1.0,1.0,0.0625,0.06666666666666667,0.332638374540529,0.49835432072858854,127.24162036737607,0.0,114.51745833063846,115.27378369815581,229.79124202879427,0.9650015381933579,100,0.1479299396178173,0.5016456792714115,0,0
