time,free_cpu_ratio,job_queue_ratio,battery_ratio,running_job_ratio,time_norm,cpu_usage_ratio,clean_energy_ratio,solar_generation,wind_generation,clean_energy_generation,non_clean_energy_used,cluster_consumption,reward,battery_level,ram_usage_ratio,brown_energy_ratio,completed_jobs,avg_slowdown
1,0.9009391020635362,1.0,1.0,0.015625,0.0033333333333333335,0.09906089793646373,1.0,0.0,122.41989900225394,110.17790910202855,0,0,-0.0,100,0.05550889131992909,0,0,0
2,0.8123291863287782,1.0,1.0,0.03125,0.006666666666666667,0.18767081367122188,1.0,0.0,216.46551581122603,194.81896423010343,0,89.7277486826924,-0.0,100,0.1075423414150889,0.0,0,0
3,0.739482513169242,1.0,0.8,0.046875,0.01,0.260517486830758,0.18064903858374523,0.0,0,20.0,90.71190943940952,110.71190943940952,-8.193509614162547,80.0,0.1290187031048634,0.8193509614162547,0,0
4,0.7992759543440137,1.0,0.893509154031932,0.046875,0.013333333333333334,0.2007240456559863,0.6718959236139999,0.0,93.50915403193203,84.15823862873883,41.09663444158393,125.25487307032276,-4.781040763860002,89.3509154031932,0.142262183988065,0.32810407638600014,1,1.5
5,0.7148382448053816,1.0,1.0,0.0625,0.016666666666666666,0.2851617551946184,1.0,0.0,755.6711804897171,680.1040624407455,0,195.63993146941334,-0.0,100,0.19959538979406366,0.0,0,0
6,0.7873924585603099,1.0,1.0,0.046875,0.02,0.2126075414396901,1.0,0.0,548.1662088216327,493.3495879394695,0,167.44619588970346,-1.3333333333333335,100,0.1816978877429678,0.0,2,1.3333333333333335
7,0.6870890432155565,1.0,1.0,0.0625,0.023333333333333334,0.3129109567844435,1.0,0.0,731.815941917277,658.6343477255493,0,298.18355492936166,-0.0,100,0.22798633541717495,0.0,0,0
8,0.6511183993633265,1.0,1.0,0.078125,0.02666666666666667,0.34888160063667345,1.0,31.05828541230249,379.4600902049644,369.4665380555402,0,348.12553039315395,-0.0,100,0.25814697118324825,0.0,0,0
9,0.5903315414465771,1.0,1.0,0.09375,0.03,0.409668458553423,0.6955425460273416,59.99999999999999,227.5596387827949,258.8036749045154,113.28524529554653,372.0889202000619,-3.044574539726584,100,0.32434581063426593,0.30445745397265844,0,0
10,0.6233568287145543,1.0,1.0,0.09375,0.03333333333333333,0.3766431712854456,1.0,84.85281374238569,445.67042784607605,477.47091742961555,0,354.50654887067657,-3.0,100,0.33018869174482746,0.0,1,3.0
11,0.6768292657346368,1.0,1.0,0.078125,0.03666666666666667,0.32317073426536325,1.0,103.92304845413263,261.5519308189337,328.92748134575976,0,305.1158662055135,-2.5,100,0.2693975392669986,0.0,2,2.5
12,0.695474991601122,1.0,1.0,0.0625,0.04,0.3045250083988779,1.0,115.9110991546882,885.2253910561675,901.0228411897702,0,217.79780740654363,-2.520833333333333,100,0.17706652580463633,0.0,2,2.520833333333333
13,0.8886379050753523,1.0,1.0,0.03125,0.043333333333333335,0.11136209492464771,1.0,120.0,237.2084587114149,321.4876128402734,0,71.63384463235778,-6.571428571428572,100,0.07866516658457956,0.0,3,6.571428571428572
